mcmc,evo,aco
83,18,83
44,44,83
83,18,38
83,44,83
52,44,44
52,44,43
52,44,83
83,18,83
83,44,83
83,44,38
44,44,43
83,26,3
52,26,83
83,18,83
83,18,38
52,44,44
83,18,43
52,18,83
34,18,83
83,44,44
52,44,83
83,18,83
83,44,83
83,18,44
83,44,43
52,18,83
83,18,83
34,44,83
83,44,83
52,18,43
