mcmc,evo,aco
68,21.6,74
20,56,74
68,56,74
20.8,56,74
68,56,74
64,56,74
68,21.6,74
68,56,74
64,56,19.2
68,56,19.2
68,56,19.2
68,56,74
64,56,63.2
68,56,74
68,56,19.2
68,56,19.2
64,56,19.2
68,56,16.8
68,56,74
68,56,74
68,56,74
64,56,19.2
68,21.6,74
64,56,64.8
68,56,74
68,56,19.2
68,56,74
68,56,74
68,21.6,74
68,56,66.4
