mcmc,evo,aco
75,40,40
93.3,72,78
75,72,78
75,40,78
75,72,40
93.3,40,40
75,40,78
93.3,72,78
39,72,40
75,40,78
75,72,78
39,40,40
93.3,72,78
39,72,40
75,40,78
93.3,72,78
93.3,40,78
93.3,40,78
93.3,72,78
93.3,72,78
93.3,72,40
93.3,40,78
80,72,40
80,72,78
93.3,40,78
75,72,78
93.3,72,40
93.3,40,40
