mcmc,evo,aco
69.2,53.5,34.6
69.2,53.5,34.6
93,53.5,83.3
69.2,53.5,83.3
69.2,53.5,34.6
93,53.5,83.3
69.2,53.5,34.6
93,53.5,83.3
69.2,53.5,83.3
69.2,53.5,38.5
69.2,53.5,83.3
93,53.5,83.3
93,53.5,83.3
93,53.5,83.3
93,53.5,83.3
93,53.5,38.5
69.2,53.5,83.3
93,53.5,83.3
93,53.5,83.3
69.2,53.5,83.3
93,53.5,83.3
93,53.5,83.3
69.2,53.5,34.6
93,53.5,83.3
69.2,53.5,83.3
69.2,53.5,83.3
93,53.5,34.6
93,53.5,83.3
