mcmc,evo,aco
59,77,94.8
84,77,77
84,48,3.3
59,48,94.8
94.8,59,77
59,48,13.3
84,48,59
84,77,77
94.8,48,25
59,77,77
94.8,48,13.3
59,59,59
84,48,77
94.8,94.8,25
59,3.3,77
84,48,59
84,77,13.3
84,77,3.3
94.8,48,94.8
84,48,77
94.8,59,3.3
84,48,94.8
84,77,77
84,48,13.3
84,59,59
84,77,77
84,48,25
94.8,59,77
84,48,13.3
84,48,59
