mcmc,evo,aco
93,72,81
69,72,81
93,57,81
93,72,81
93,57,81
93,44.4,55.6
69,57,81
69,66.7,81
93,57,81
66.7,57,55.6
93,57,81
93,57,55.6
93,57,66.7
93,57,55.6
93,57,81
69,57,55.6
69,55.6,55.6
69,55.6,81
69,72,55.6
69,66.7,81
69,57,55.6
69,57,81
69,72,55.6
93,72,81
69,72,55.6
93,72,81
69,72,55.6
93,72,66.7
69,66.7,55.6
69,72,44.4
