mcmc,evo,aco
78,60,60
78,60,60
78,60,60
78,38,60
78,60,60
78,60,60
78,52,60
78,38,60
78,60,60
78,52,60
78,60,60
78,60,60
78,52,60
78,60,60
78,38,60
78,52,60
78,60,60
78,60,60
78,60,60
78,60,52
78,52,38
78,60,60
78,25,52
78,60,60
78,60,60
78,38,52
78,60,60
78,25,38
78,60,60
78,60,38
