mcmc,evo,aco
94,19.4,85.8
94,19.4,85.8
94,85.8,61.1
94,19.4,55.6
66.7,19.4,85.8
94,19.4,85.8
66.7,85.8,85.8
94,19.4,85.8
66.7,19.4,85.8
94,50,47.2
94,19.4,50
94,19.4,50
94,19.4,85.8
94,19.4,63.9
94,50,85.8
94,50,85.8
94,19.4,85.8
94,585.8,85.8
94,85.8,13.9
94,85.8,85.8
94,50,85.8
94,50,61.1
94,85.8,85.8
94,85.8,61.1
94,85.8,55.6
585.8,50,50
94,50,50
94,85.8,66.7
94,85.8,63.9
