points
15,91,21
24,13,33
96,64,87
33,86,94
48,97,89
51,46,26
75,83,29
4,28,97
77,49,46
13,25,55
16,13,92
97,4,28
72,54,86
11,21,99
81,43,52
13,91,20
22,13,33
95,64,87
32,84,93
48,96,88
51,45,27
75,83,30
5,25,98
77,48,46
12,25,56
16,14,92
97,6,27
70,51,88
10,19,99
13,91,19
22,12,33
96,63,90
31,84,93
47,96,88
51,44,25
73,82,30
6,25,96
76,46,47
12,26,56
16,11,91
95,6,28
69,52,88
10,19,98
13,91,18
10,89,16
22,11,34
96,61,91
32,82,93
47,97,88
50,44,24
73,81,30
3,25,97
75,45,45
16,11,90
94,5,27
69,51,88
11,20,98
12,91,17
11,91,18
23,11,34
95,61,91
31,82,93
48,96,87
49,43,24
73,82,28
2,25,97
75,45,46
11,90,16
92,6,28
69,50,90
12,20,96
12,91,18
10,91,16
93,61,91
29,78,92
46,96,87
49,43,25
1,25,97
73,44,47
9,90,15
14,91,18
92,4,29
69,48,87
12,22,95
11,93,17
9,89,16
8,90,14
93,60,89
28,77,92
45,94,86
47,41,25
72,80,29
72,44,47
9,89,15
9,92,15
91,4,28
68,49,85
13,22,95
11,93,16
8,87,13
93,60,90
28,76,90
46,94,85
48,41,25
71,81,29
9,88,14
72,45,47
8,89,13
91,4,26
13,21,93
10,92,16
7,88,12
8,86,13
93,59,89
29,75,90
47,94,85
47,40,24
10,93,16
6,89,11
71,45,46
6,90,12
10,93,14
91,4,27
67,50,82
13,22,93
7,84,12
8,85,12
93,59,88
28,74,90
45,93,85
47,39,23
11,93,15
5,90,10
71,43,47
3,89,11
9,93,15
91,5,28
7,85,13
12,21,91
10,90,16
7,84,11
6,85,11
94,60,88
28,75,90
43,93,84
47,38,23
9,91,15
1,89,12
72,40,47
4,89,10
8,92,15
90,4,28
8,84,12
11,21,91
7,82,12
6,83,11
95,59,86
27,74,90
42,92,83
48,38,23
9,92,14
2,88,11
72,40,46
3,89,9
6,91,14
90,3,27
9,83,11
12,20,90
10,83,11
95,59,85
26,72,89
43,92,82
48,37,22
6,90,14
2,89,9
72,38,48
3,90,8
6,90,13
88,2,25
7,82,11
10,19,89
9,82,9
7,89,12
93,57,85
25,72,88
43,92,80
46,38,21
5,90,12
4,90,8
73,37,49
1,90,7
86,1,24
9,81,12
10,18,88
5,90,13
3,89,12
5,89,12
25,72,89
42,91,81
45,38,20
5,89,11
74,35,48
1,89,8
6,88,10
9,81,10
10,19,88
5,89,9
4,89,12
25,73,88
40,89,80
44,39,19
5,88,10
74,34,47
6,85,9
10,82,9
9,17,89
4,90,10
4,90,9
5,89,10
3,88,8
24,73,87
41,87,81
43,39,18
4,91,9
75,34,47
2,88,9
4,84,9
85,1,25
10,80,8
9,17,88
2,90,9
2,91,8
22,73,88
40,87,80
41,39,18
2,89,8
1,91,10
74,33,47
1,90,8
3,84,10
84,2,24
8,80,8
8,17,88
1,90,9
1,89,9
1,89,7
23,73,86
40,86,80
40,39,17
73,34,46
